10.673, 0.777, 0.665, 0.416, 0.53, 2.929, 0.798, 0.624, 0.521, 0.275, 4.884, 0.816, 0.481, 0.211, 0.345, 3.164, 0.753, 0.546, 0.29, 0.259, 0.888, 0.372, 0.366, 0.799, 0.69, 0.841, 0.168, 0.262, 0.591, 0.427, 0.699, 0.389, 0.145, 0.131, 0.128, 0.534, 0.368, 0.201, 0.137, 0.169, 1.087, 0.577, 0.599, 0.559, 0.812, 1.219, 1.403, 2.382, 2.519, 2.73, 1.9, 1.235, 0.885, 0.412, 0.277, 4.177, 1.397, 0.742, 0.319, 0.341, 3.321, 1.162, 0.698, 0.419, 0.396, 4.921, 0.6, 0.532, 0.345, 0.421
7.65, 0.802, 0.8, 0.304, 0.533, 2.312, 0.871, 0.764, 0.468, 0.261, 3.735, 0.864, 0.58, 0.187, 0.356, 2.456, 0.853, 0.562, 0.254, 0.222, 0.903, 0.451, 0.428, 0.749, 0.733, 0.795, 0.227, 0.297, 0.64, 0.43, 0.71, 0.4, 0.125, 0.152, 0.123, 0.634, 0.392, 0.195, 0.15, 0.176, 1.249, 0.694, 0.503, 0.595, 0.771, 1.583, 1.351, 2.376, 2.644, 2.552, 1.938, 1.348, 1.015, 0.393, 0.276, 3.933, 1.43, 0.893, 0.286, 0.362, 2.738, 1.305, 0.794, 0.451, 0.346, 4.051, 0.587, 0.539, 0.299, 0.444
5.667, 0.89, 0.946, 0.229, 0.502, 2.424, 1.04, 0.931, 0.408, 0.255, 2.982, 0.918, 0.665, 0.175, 0.351, 2.021, 1.006, 0.576, 0.219, 0.191, 0.927, 0.59, 0.514, 0.689, 0.776, 0.817, 0.327, 0.347, 0.654, 0.426, 0.772, 0.446, 0.11, 0.166, 0.118, 0.746, 0.434, 0.184, 0.158, 0.185, 1.496, 0.864, 0.402, 0.597, 0.712, 1.993, 1.318, 2.159, 2.638, 2.326, 2.194, 1.44, 1.139, 0.356, 0.275, 4.08, 1.471, 1.006, 0.262, 0.379, 2.774, 1.506, 0.883, 0.454, 0.298, 3.634, 0.62, 0.543, 0.263, 0.456
5.081, 1.105, 1.039, 0.191, 0.446, 3.578, 1.327, 1.082, 0.355, 0.258, 2.635, 0.974, 0.704, 0.169, 0.332, 2.009, 1.198, 0.569, 0.193, 0.174, 0.95, 0.738, 0.6, 0.636, 0.813, 0.878, 0.436, 0.408, 0.626, 0.42, 0.854, 0.509, 0.113, 0.17, 0.115, 0.852, 0.5, 0.17, 0.161, 0.191, 1.782, 1.053, 0.312, 0.57, 0.644, 2.419, 1.322, 1.784, 2.551, 2.1, 2.806, 1.526, 1.197, 0.311, 0.278, 4.469, 1.54, 1.037, 0.245, 0.39, 3.827, 1.803, 0.927, 0.427, 0.262, 3.815, 0.763, 0.523, 0.229, 0.453
6.248, 1.526, 1.041, 0.175, 0.384, 6.004, 1.725, 1.176, 0.32, 0.272, 2.803, 1.081, 0.687, 0.162, 0.302, 2.579, 1.42, 0.532, 0.182, 0.173, 1.016, 0.856, 0.674, 0.605, 0.84, 1.01, 0.531, 0.475, 0.566, 0.414, 0.972, 0.574, 0.148, 0.166, 0.116, 0.934, 0.596, 0.171, 0.162, 0.192, 2.071, 1.228, 0.266, 0.535, 0.575, 2.846, 1.358, 1.381, 2.478, 1.905, 4.096, 1.692, 1.159, 0.275, 0.285, 5.097, 1.691, 0.987, 0.232, 0.398, 6.625, 2.311, 0.91, 0.39, 0.242, 4.95, 1.101, 0.48, 0.195, 0.435
9.422, 2.151, 0.955, 0.172, 0.33, 9.509, 2.17, 1.188, 0.31, 0.296, 3.652, 1.298, 0.624, 0.153, 0.268, 3.763, 1.639, 0.47, 0.187, 0.185, 1.183, 0.927, 0.727, 0.6, 0.855, 1.252, 0.614, 0.537, 0.496, 0.413, 1.139, 0.639, 0.221, 0.157, 0.122, 1.076, 0.726, 0.211, 0.167, 0.189, 2.464, 1.373, 0.298, 0.515, 0.507, 3.347, 1.406, 1.062, 2.474, 1.741, 6.51, 2.046, 1.05, 0.265, 0.293, 6.307, 2.012, 0.888, 0.225, 0.401, 11.708, 3.151, 0.844, 0.365, 0.236, 7.515, 1.661, 0.439, 0.167, 0.406
14.364, 2.879, 0.816, 0.176, 0.293, 13.412, 2.57, 1.124, 0.32, 0.321, 5.318, 1.638, 0.54, 0.145, 0.235, 5.396, 1.82, 0.403, 0.201, 0.203, 1.535, 0.966, 0.763, 0.624, 0.856, 1.68, 0.707, 0.586, 0.437, 0.416, 1.434, 0.713, 0.323, 0.148, 0.13, 1.387, 0.89, 0.306, 0.181, 0.184, 3.14, 1.501, 0.426, 0.518, 0.445, 4.048, 1.453, 0.896, 2.523, 1.59, 10.265, 2.633, 0.936, 0.29, 0.297, 8.513, 2.532, 0.792, 0.226, 0.396, 18.842, 4.321, 0.766, 0.367, 0.236, 11.574, 2.366, 0.435, 0.154, 0.369
20.173, 3.558, 0.672, 0.185, 0.271, 16.596, 2.816, 1.003, 0.34, 0.336, 7.573, 2.064, 0.46, 0.143, 0.206, 7.054, 1.93, 0.342, 0.216, 0.216, 2.021, 1.01, 0.781, 0.667, 0.841, 2.253, 0.824, 0.61, 0.403, 0.417, 1.863, 0.806, 0.432, 0.144, 0.135, 1.945, 1.07, 0.44, 0.202, 0.179, 4.19, 1.629, 0.621, 0.534, 0.391, 4.986, 1.504, 0.88, 2.565, 1.443, 14.967, 3.387, 0.875, 0.341, 0.292, 11.689, 3.218, 0.735, 0.237, 0.378, 26.754, 5.66, 0.714, 0.394, 0.235, 16.522, 3.078, 0.487, 0.161, 0.325
25.431, 4.002, 0.562, 0.2, 0.257, 18.084, 2.82, 0.861, 0.355, 0.331, 9.908, 2.472, 0.408, 0.153, 0.18, 8.272, 1.936, 0.288, 0.224, 0.219, 2.531, 1.094, 0.779, 0.708, 0.807, 2.846, 0.965, 0.601, 0.392, 0.409, 2.367, 0.909, 0.516, 0.145, 0.136, 2.653, 1.239, 0.573, 0.224, 0.177, 5.466, 1.77, 0.814, 0.543, 0.352, 6.018, 1.576, 0.944, 2.515, 1.305, 19.551, 4.129, 0.883, 0.398, 0.275, 15.203, 3.929, 0.72, 0.253, 0.346, 33.354, 6.86, 0.7, 0.427, 0.23, 21.116, 3.624, 0.591, 0.185, 0.278
28.718, 4.074, 0.514, 0.22, 0.249, 17.534, 2.602, 0.746, 0.356, 0.306, 11.648, 2.73, 0.394, 0.175, 0.16, 8.741, 1.853, 0.247, 0.222, 0.21, 2.881, 1.221, 0.75, 0.731, 0.759, 3.258, 1.104, 0.558, 0.392, 0.389, 2.796, 1.0, 0.551, 0.147, 0.13, 3.327, 1.369, 0.66, 0.238, 0.177, 6.614, 1.931, 0.945, 0.528, 0.328, 6.835, 1.676, 1.043, 2.335, 1.193, 22.642, 4.655, 0.942, 0.437, 0.25, 17.984, 4.477, 0.735, 0.271, 0.308, 36.708, 7.604, 0.722, 0.443, 0.224, 24.02, 3.885, 0.731, 0.218, 0.235
